Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,9.4000
Entertainment,0.0000,0.0000,0.0000,24.2000
Food,0.0000,0.0000,0.0000,33.6000
Nightlife,0.0000,0.0000,0.0000,17.8000
Outdoors,0.0000,0.0000,0.0000,3.6000
Shopping,0.0000,0.0000,0.0000,6.5000
Travel,0.0000,0.0000,0.0000,40.0000
None,0.0000,0.0000,0.0000,11.6000
Unknown-8,0.0000,0.0000,0.0000,19.8000
Unknown-9,0.0020,0.2000,0.0040,22.8000
Unknown-10,0.0000,0.0000,0.0000,19.0000
Unknown-11,0.0000,0.0000,0.0000,52.4000
Unknown-12,0.0000,0.0000,0.0000,11.6000
Unknown-13,0.0000,0.0000,0.0000,47.2000
Unknown-14,0.0000,0.0000,0.0000,4.0000
Unknown-17,0.0000,0.0000,0.0000,47.0000
Unknown-18,0.0000,0.0000,0.0000,24.8000
Unknown-20,0.0000,0.0000,0.0000,58.4000
Unknown-21,0.0000,0.0000,0.0000,1.3333
Unknown-23,0.0000,0.0000,0.0000,2.0000
Unknown-26,0.0000,0.0000,0.0000,3.5000
Unknown-27,0.0000,0.0000,0.0000,6.4000
Unknown-30,0.0000,0.0000,0.0000,3.8000
Unknown-31,0.0000,0.0000,0.0000,35.8000
Unknown-32,0.0000,0.0000,0.0000,4.0000
Unknown-33,0.0000,0.0000,0.0000,36.6000
Unknown-34,0.0000,0.0000,0.0000,11.6000
Unknown-35,0.0000,0.0000,0.0000,4.4000
Unknown-36,0.0000,0.0000,0.0000,15.4000
Unknown-38,0.0000,0.0000,0.0000,1.6000
Unknown-39,0.0000,0.0000,0.0000,5.2000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.0000,0.0000,0.0000,20.6000
Unknown-43,0.0000,0.0000,0.0000,15.0000
Unknown-44,0.0000,0.0000,0.0000,12.8000
Unknown-45,0.0000,0.0000,0.0000,1.5000
Unknown-46,0.0000,0.0000,0.0000,54.4000
Unknown-47,0.0000,0.0000,0.0000,5.4000
Unknown-48,0.0000,0.0000,0.0000,3.6667
Unknown-49,0.0000,0.0000,0.0000,11.4000
Unknown-50,0.0000,0.0000,0.0000,7.8000
Unknown-51,0.0000,0.0000,0.0000,13.4000
Unknown-53,0.0000,0.0000,0.0000,11.4000
Unknown-54,0.0000,0.0000,0.0000,1.7500
Unknown-55,0.0000,0.0000,0.0000,22.2000
Unknown-56,0.0000,0.0000,0.0000,10.8000
Unknown-57,0.0000,0.0000,0.0000,26.8000
Unknown-60,0.0000,0.0000,0.0000,18.4000
Unknown-61,0.0000,0.0000,0.0000,4.8000
Unknown-62,0.0000,0.0000,0.0000,10.6000
Unknown-63,0.0000,0.0000,0.0000,2.0000
Unknown-64,0.0000,0.0000,0.0000,8.0000
Unknown-65,0.0000,0.0000,0.0000,8.6000
Unknown-67,0.0000,0.0000,0.0000,7.2500
Unknown-68,0.0000,0.0000,0.0000,5.6667
Unknown-69,0.0000,0.0000,0.0000,18.4000
Unknown-70,0.0000,0.0000,0.0000,23.0000
Unknown-72,0.0000,0.0000,0.0000,16.4000
Unknown-74,0.0000,0.0000,0.0000,2.7500
Unknown-75,0.0000,0.0000,0.0000,10.8000
Unknown-76,0.0000,0.0000,0.0000,7.2500
Unknown-77,0.0000,0.0000,0.0000,6.4000
Unknown-78,0.0000,0.0000,0.0000,1.8000
Unknown-79,0.0000,0.0000,0.0000,38.0000
Unknown-80,0.0000,0.0000,0.0000,28.2000
Unknown-81,0.0000,0.0000,0.0000,14.6000
Unknown-82,0.0000,0.0000,0.0000,6.4000
Unknown-84,0.0000,0.0000,0.0000,12.8000
Unknown-86,0.0000,0.0000,0.0000,1.0000
Unknown-87,0.0000,0.0000,0.0000,4.2500
Unknown-89,0.0000,0.0000,0.0000,7.2000
Unknown-90,0.0000,0.0000,0.0000,1.6667
Unknown-94,0.0000,0.0000,0.0000,3.3333
Unknown-95,0.0000,0.0000,0.0000,12.6000
Unknown-96,0.0000,0.0000,0.0000,6.4000
Unknown-97,0.0000,0.0000,0.0000,9.6000
Unknown-98,0.0000,0.0000,0.0000,6.0000
Unknown-99,0.0000,0.0000,0.0000,5.6667
Unknown-100,0.0000,0.0000,0.0000,3.2000
Unknown-101,0.0000,0.0000,0.0000,3.7500
Unknown-102,0.0000,0.0000,0.0000,3.2000
Unknown-104,0.0000,0.0000,0.0000,2.2500
Unknown-105,0.0010,0.2000,0.0020,16.6000
Unknown-106,0.0000,0.0000,0.0000,7.8000
Unknown-107,0.0000,0.0000,0.0000,7.4000
Unknown-109,0.0000,0.0000,0.0000,11.7500
Unknown-110,0.0000,0.0000,0.0000,3.7500
Unknown-111,0.0000,0.0000,0.0000,14.4000
Unknown-112,0.0000,0.0000,0.0000,1.5000
Unknown-113,0.0000,0.0000,0.0000,2.4000
Unknown-115,0.0000,0.0000,0.0000,3.2000
Unknown-117,0.0000,0.0000,0.0000,4.4000
Unknown-118,0.0000,0.0000,0.0000,2.0000
Unknown-119,0.0000,0.0000,0.0000,6.2500
Unknown-120,0.0000,0.0000,0.0000,9.6000
Unknown-123,0.0000,0.0000,0.0000,1.0000
Unknown-126,0.0000,0.0000,0.0000,1.0000
Unknown-127,0.0000,0.0000,0.0000,30.4000
Unknown-128,0.0000,0.0000,0.0000,4.0000
Unknown-129,0.0000,0.0000,0.0000,3.2000
Unknown-130,0.0000,0.0000,0.0000,7.8000
Unknown-131,0.0000,0.0000,0.0000,8.6000
Unknown-132,0.0000,0.0000,0.0000,3.8000
Unknown-133,0.0000,0.0000,0.0000,13.0000
Unknown-134,0.0000,0.0000,0.0000,10.6000
Unknown-136,0.0000,0.0000,0.0000,17.8000
Unknown-137,0.0000,0.0000,0.0000,1.2000
Unknown-138,0.0000,0.0000,0.0000,4.8000
Unknown-140,0.0000,0.0000,0.0000,7.8000
Unknown-141,0.0000,0.0000,0.0000,1.6667
Unknown-142,0.0000,0.0000,0.0000,1.8000
Unknown-144,0.0000,0.0000,0.0000,1.4000
Unknown-145,0.0000,0.0000,0.0000,1.0000
Unknown-146,0.0000,0.0000,0.0000,2.2000
Unknown-147,0.0000,0.0000,0.0000,3.2500
Unknown-148,0.0000,0.0000,0.0000,31.0000
Unknown-149,0.0000,0.0000,0.0000,10.4000
Unknown-151,0.0000,0.0000,0.0000,1.6667
