Category,precision,recall,f1-score,support
Community,41.10 ± 14.18,45.19 ± 16.44,43.02 ± 15.24,2760.00 ± 1397.50
Entertainment,32.69 ± 20.74,35.36 ± 20.32,33.68 ± 20.10,4160.00 ± 1502.66
Food,3.33 ± 7.45,10.00 ± 22.36,5.00 ± 11.18,420.00 ± 605.81
Nightlife,28.05 ± 12.95,36.26 ± 16.79,30.93 ± 14.00,1540.00 ± 1293.45
Outdoors,27.14 ± 27.03,28.56 ± 21.69,25.86 ± 20.62,700.00 ± 353.55
Shopping,36.10 ± 24.98,29.88 ± 27.35,31.66 ± 25.78,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,12.50 ± 12.50,24.00 ± 25.10,16.41 ± 16.68,280.00 ± 130.38
Unknown-8,54.26 ± 5.59,54.35 ± 11.28,53.81 ± 7.24,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,2.50 ± 5.59,4.00 ± 8.94,3.08 ± 6.88,200.00 ± 200.00
Unknown-11,22.57 ± 23.40,19.71 ± 21.05,20.50 ± 20.92,660.00 ± 364.69
Unknown-12,22.22 ± 25.76,34.09 ± 41.47,25.93 ± 29.94,400.00 ± 418.33
Unknown-13,10.67 ± 15.35,8.33 ± 11.79,8.89 ± 12.17,340.00 ± 194.94
Unknown-14,9.74 ± 9.22,15.33 ± 16.60,11.28 ± 10.54,640.00 ± 270.19
Unknown-15,25.29 ± 16.70,27.76 ± 23.17,25.70 ± 20.04,5160.00 ± 1137.10
Unknown-16,41.27 ± 4.52,45.68 ± 12.32,43.01 ± 7.15,3620.00 ± 947.10
Unknown-17,12.50 ± 25.00,5.00 ± 10.00,7.14 ± 14.29,275.00 ± 263.00
Unknown-18,55.71 ± 8.86,54.02 ± 5.09,54.80 ± 6.90,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,63.80 ± 6.75,71.16 ± 5.09,67.11 ± 4.79,2380.00 ± 742.97
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 328.63
Unknown-25,53.05 ± 19.84,46.79 ± 15.84,49.60 ± 17.63,2820.00 ± 2558.71
Unknown-26,71.43 ± 25.42,77.86 ± 26.12,72.28 ± 21.51,500.00 ± 282.84
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 734.85
Unknown-28,53.96 ± 49.26,54.97 ± 50.18,54.46 ± 49.72,708180.00 ± 15898.80
Unknown-29,2.50 ± 5.59,20.00 ± 44.72,4.44 ± 9.94,320.00 ± 249.00
Unknown-30,28.63 ± 21.80,31.11 ± 25.72,29.04 ± 22.78,620.00 ± 327.11
Unknown-31,4.69 ± 9.38,12.50 ± 25.00,6.82 ± 13.64,300.00 ± 258.20
Unknown-32,29.31 ± 6.47,25.74 ± 5.06,27.07 ± 4.53,5420.00 ± 2291.72
Unknown-33,12.62 ± 11.89,22.67 ± 22.04,15.71 ± 14.42,400.00 ± 339.12
Unknown-34,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 346.41
Unknown-35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-36,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-37,55.77 ± 13.03,55.29 ± 8.28,55.37 ± 10.30,10660.00 ± 5767.41
Unknown-38,2.50 ± 5.59,10.00 ± 22.36,4.00 ± 8.94,140.00 ± 54.77
Unknown-39,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 109.54
Unknown-40,31.08 ± 18.39,27.19 ± 16.60,28.75 ± 17.11,3680.00 ± 1331.16
Unknown-41,51.12 ± 16.13,48.42 ± 18.39,49.53 ± 17.30,9600.00 ± 3506.42
Unknown-42,67.60 ± 5.96,43.29 ± 3.31,52.58 ± 2.26,21420.00 ± 2610.94
Unknown-43,21.68 ± 5.77,18.76 ± 5.07,20.08 ± 5.36,3220.00 ± 1213.26
Unknown-44,60.58 ± 5.27,59.43 ± 6.52,59.97 ± 5.80,29920.00 ± 7232.36
Unknown-45,57.82 ± 7.05,38.25 ± 5.67,45.97 ± 6.01,18960.00 ± 1693.52
Unknown-46,20.61 ± 23.33,26.11 ± 26.47,20.04 ± 20.62,800.00 ± 1097.72
Unknown-47,58.38 ± 7.46,59.55 ± 10.90,58.73 ± 8.52,7380.00 ± 1706.46
Unknown-48,38.79 ± 9.51,40.20 ± 9.31,39.20 ± 8.91,9880.00 ± 2928.65
Unknown-49,62.51 ± 4.01,63.25 ± 3.26,62.86 ± 3.46,14200.00 ± 2100.00
